,File,Parent Directory,Grandparent Directory,Page Count
0,ans.pdf,2013,英國語文,6
1,p1.pdf,2013,英國語文,21
2,p2.pdf,2013,英國語文,8
3,p3.pdf,2013,英國語文,37
4,p4.pdf,2013,英國語文,60
5,ans.pdf,2014,英國語文,36
6,p1.pdf,2014,英國語文,21
7,p2.pdf,2014,英國語文,8
8,p3.pdf,2014,英國語文,39
9,p4.pdf,2014,英國語文,30
10,ans.pdf,2015,英國語文,14
11,p1.pdf,2015,英國語文,24
12,p2.pdf,2015,英國語文,8
13,p3.pdf,2015,英國語文,48
14,p4.pdf,2015,英國語文,54
15,ans.pdf,2016,英國語文,28
16,p1.pdf,2016,英國語文,24
17,p2.pdf,2016,英國語文,12
18,p3.pdf,2016,英國語文,37
19,p4.pdf,2016,英國語文,28
20,ans.pdf,2017,英國語文,29
21,p1.pdf,2017,英國語文,24
22,p2.pdf,2017,英國語文,12
23,p3.pdf,2017,英國語文,39
24,p4.pdf,2017,英國語文,24
25,ans.pdf,2018,英國語文,13
26,p1.pdf,2018,英國語文,26
27,p2.pdf,2018,英國語文,12
28,p3.pdf,2018,英國語文,42
29,p4.pdf,2018,英國語文,24
30,ans.pdf,2019,英國語文,27
31,p1.pdf,2019,英國語文,28
32,p2.pdf,2019,英國語文,12
33,p3.pdf,2019,英國語文,48
34,p4.pdf,2019,英國語文,24
35,ans.pdf,2020,英國語文,27
36,p1.pdf,2020,英國語文,21
37,p2.pdf,2020,英國語文,12
38,p3.pdf,2020,英國語文,48
39,ans.pdf,2021,英國語文,39
40,p1.pdf,2021,英國語文,21
41,p2.pdf,2021,英國語文,12
42,p3.pdf,2021,英國語文,38
43,ans.pdf,2022,英國語文,25
44,p1.pdf,2022,英國語文,18
45,p2.pdf,2022,英國語文,12
46,p3.pdf,2022,英國語文,46
47,ans.pdf,2023,英國語文,26
48,p1.pdf,2023,英國語文,24
49,p2.pdf,2023,英國語文,12
50,p3.pdf,2023,英國語文,51
51,p4.pdf,2023,英國語文,48
52,ans.pdf,pp,英國語文,60
53,p1.pdf,pp,英國語文,21
54,p2.pdf,pp,英國語文,8
55,p3.pdf,pp,英國語文,37
56,p4.pdf,pp,英國語文,6
57,ans.pdf,sp,英國語文,30
58,p1.pdf,sp,英國語文,21
59,p2.pdf,sp,英國語文,10
60,p3.pdf,sp,英國語文,32
61,p4.pdf,sp,英國語文,4
